2026-03-19 15:54:05 | INFO | httpx | HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-19 15:54:05 | INFO | chromadb.telemetry.product.posthog | Anonymized telemetry enabled. See                     https://docs.trychroma.com/telemetry for more information.
2026-03-19 15:54:06 | INFO | httpx | HTTP Request: GET https://api.trychroma.com/api/v2/auth/identity "HTTP/1.1 200 OK"
2026-03-19 15:54:06 | INFO | chromadb.telemetry.product.posthog | Anonymized telemetry enabled. See                     https://docs.trychroma.com/telemetry for more information.
2026-03-19 15:54:07 | INFO | httpx | HTTP Request: GET https://api.trychroma.com/api/v2/tenants/ff2461a6-04a3-409d-bcc9-e284ce5651f4 "HTTP/1.1 200 OK"
2026-03-19 15:54:07 | INFO | httpx | HTTP Request: GET https://api.trychroma.com/api/v2/tenants/ff2461a6-04a3-409d-bcc9-e284ce5651f4/databases/front-desk-test "HTTP/1.1 200 OK"
2026-03-19 15:54:07 | INFO | httpx | HTTP Request: POST https://api.trychroma.com/api/v2/tenants/ff2461a6-04a3-409d-bcc9-e284ce5651f4/databases/front-desk-test/collections "HTTP/1.1 200 OK"
2026-03-19 15:54:07 | INFO | httpx | HTTP Request: POST https://api.trychroma.com/api/v2/tenants/ff2461a6-04a3-409d-bcc9-e284ce5651f4/databases/front-desk-test/collections/42b41ed8-6334-4219-b3ed-3b6d58428776/query "HTTP/1.1 200 OK"
2026-03-19 15:54:07 | INFO | graph | [save_to_redis] thread_id=test-thread-3 org_id=test-org-3 redis_memory=<utils.redis_memory.RedisMemoryService object at 0x00000216DE377200>
2026-03-19 15:54:08 | INFO | uvicorn.access | 127.0.0.1:62832 - "POST /api/chat/?org_id=test-org-3 HTTP/1.1" 200
2026-03-19 15:58:38 | INFO | uvicorn.error | Shutting down
2026-03-19 15:58:38 | INFO | uvicorn.error | Waiting for application shutdown.
2026-03-19 15:58:42 | INFO | db.connection | MongoDB Disconnected
2026-03-19 15:58:45 | INFO | utils.redis_memory | Redis disconnected
2026-03-19 15:58:45 | INFO | uvicorn.error | Application shutdown complete.
2026-03-19 15:58:45 | INFO | uvicorn.error | Finished server process [20876]
2026-03-19 16:00:08 | INFO | uvicorn.error | Started server process [32472]
2026-03-19 16:00:08 | INFO | uvicorn.error | Waiting for application startup.
2026-03-19 16:00:08 | INFO | db.connection | MongoDB Connected
2026-03-19 16:00:08 | INFO | utils.redis_memory | Redis connected
2026-03-19 16:00:08 | INFO | db.connection | MongoDB indexes created
2026-03-19 16:00:08 | INFO | uvicorn.error | Application startup complete.
2026-03-19 16:00:08 | INFO | uvicorn.access | 127.0.0.1:50860 - "POST /api/chat/?org_id=test-org-3 HTTP/1.1" 422
2026-03-19 16:00:09 | INFO | httpx | HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
